"CountyName","LocationName","Data_Value","geometry"
"Orange",6059110607,0.24,"POINT (-117.9952602 33.8796677)"
"Orange",6059087103,0.254,"POINT (-117.948788 33.8264399)"
"Orange",6059088403,0.265,"POINT (-117.9105799 33.7888906)"
"Orange",6059087105,0.279,"POINT (-117.9346588 33.8274725)"
"Orange",6059076208,0.268,"POINT (-117.8434316 33.8225982)"
"Orange",6059086801,0.262,"POINT (-117.9804657 33.8485739)"
"Orange",6059110304,0.23,"POINT (-118.0282835 33.8427884)"
"Orange",6059076205,0.246,"POINT (-117.8488227 33.8051381)"
"Orange",6059099241,0.231,"POINT (-117.9801983 33.7264227)"
"Orange",6059074005,0.294,"POINT (-117.880925 33.7088227)"
"Orange",6059110006,0.228,"POINT (-118.079092 33.7981512)"
"Orange",6059099406,0.238,"POINT (-118.0154385 33.726392)"
"Orange",6059099605,0.23,"POINT (-118.0085345 33.7366332)"
"Orange",6059074408,0.33,"POINT (-117.8366401 33.7377146)"
"Orange",6059075809,0.239,"POINT (-117.809036 33.8223129)"
"Placer",6061020106,0.273,"POINT (-120.0403968 39.2614322)"
"Orange",6059063908,0.258,"POINT (-117.8854728 33.6826195)"
"Orange",6059099508,0.261,"POINT (-118.0488758 33.7249952)"
"Orange",6059063605,0.319,"POINT (-117.9273493 33.6377144)"
"Riverside",6065030300,0.375,"POINT (-117.3763659 33.9798418)"
"Placer",6061023900,0.279,"POINT (-121.3278582 38.8889816)"
"Orange",6059089001,0.233,"POINT (-117.9332194 33.7523664)"
"Orange",6059088402,0.263,"POINT (-117.9193342 33.7888535)"
"Placer",6061023000,0.244,"POINT (-121.2959501 38.8063884)"
"Orange",6059075004,0.361,"POINT (-117.8656949 33.7582622)"
"Orange",6059088601,0.233,"POINT (-117.9441552 33.7737751)"
"Placer",6061023700,0.215,"POINT (-121.2828207 38.8715277)"
"Orange",6059086406,0.283,"POINT (-117.8762297 33.8438163)"
"Orange",6059099248,0.282,"POINT (-117.9244471 33.7416923)"
"Placer",6061023400,0.279,"POINT (-121.3496906 38.9111534)"
"Orange",6059087802,0.268,"POINT (-117.9976437 33.81016)"
"Orange",6059087901,0.263,"POINT (-117.9918205 33.7992973)"
"Placer",6061021046,0.252,"POINT (-121.3053861 38.7654853)"
"Orange",6059087301,0.324,"POINT (-117.911715 33.8386596)"
"Orange",6059075901,0.262,"POINT (-117.8531049 33.7914977)"
"Orange",6059063802,0.249,"POINT (-117.9275165 33.6763992)"
"Orange",6059110011,0.223,"POINT (-118.0196525 33.7993147)"
"Orange",6059075604,0.224,"POINT (-117.7854325 33.7789826)"
"Placer",6061021122,0.229,"POINT (-121.2420643 38.8290529)"
"Orange",6059086602,0.296,"POINT (-117.9331121 33.8440428)"
"Placer",6061021204,0.265,"POINT (-121.1914705 38.8664057)"
"Placer",6061020908,0.276,"POINT (-121.31649 38.7393455)"
"Placer",6061021328,0.237,"POINT (-121.4052413 38.8803813)"
"Placer",6061020300,0.286,"POINT (-121.074891 38.9050569)"
"Riverside",6065030501,0.353,"POINT (-117.3545294 33.9685092)"
"Orange",6059075514,0.299,"POINT (-117.8294395 33.7365911)"
"Orange",6059086305,0.253,"POINT (-117.8794788 33.829141)"
"Orange",6059075812,0.296,"POINT (-117.8287446 33.807971)"
"Orange",6059088202,0.218,"POINT (-117.955544 33.795374)"
"Orange",6059110108,0.26,"POINT (-118.0666483 33.8081618)"
"Orange",6059099419,0.238,"POINT (-118.0038344 33.6980069)"
"Orange",6059075814,0.216,"POINT (-117.8058478 33.8319456)"
"Orange",6059088905,0.181,"POINT (-117.9679745 33.7521267)"
"Orange",6059075607,0.205,"POINT (-117.7819968 33.7399533)"
"Orange",6059110118,0.159,"POINT (-118.0500218 33.8205123)"
"Orange",6059099245,0.245,"POINT (-117.9842902 33.6794371)"
"Placer",6061021324,0.238,"POINT (-121.2646847 38.8239763)"
"Orange",6059075202,0.31,"POINT (-117.8902562 33.7548946)"
"Placer",6061020713,0.256,"POINT (-121.2705132 38.7329396)"
"Orange",6059086501,0.32,"POINT (-117.9187355 33.846642)"
"Orange",6059074702,0.315,"POINT (-117.8825425 33.7308151)"
"Orange",6059110109,0.208,"POINT (-118.0281903 33.8207314)"
"Orange",6059099232,0.212,"POINT (-117.9606349 33.6942404)"
"Orange",6059099249,0.312,"POINT (-117.91608 33.7418244)"
