"GEOID20","docpopR","docpopR_S"
"06029004402",10.765627289120765,563.3645747649018
"06047000802",17.992066732182177,814.5176173929104
"06085501402",5.729284959853998,351.0434724954635
"06047001003",25.125267996088972,1149.560839021532
"06019004303",21.739423646432087,1008.2311339291964
"06005000102",0,0
"06005000303",3.9550704002531245,191.74181300427148
"06005000101",0,0
"06005000304",0,0
"06047001401",16.025765754488944,737.1415782985813
"06047001402",11.50834349696481,530.3065057126788
"06047001501",6.603973484279738,295.39101377691225
"06047001601",17.577614030827604,802.874338255219
"06029004901",13.448614847874548,682.0160352951932
"06019005405",41.081815772899645,1923.0756225394246
"06019005504",0.19905118933085625,9.388581096772054
"06037262601",0,0
"06073010015",1.6818892299334793,94.46272301931174
"06073020810",0,0
"06073021900",9.203367373709396,515.2279769583522
"06073020026",19.095718098988087,1075.8577121156204
"06073020028",17.945457936322825,1005.4236876955297
"06073013421",9.037920140051549,507.30695983557627
"06073020811",0,0
"06073021206",0,0
"06073017051",14.1507952022993,805.508716951643
"06073017109",1.6316143682868376,97.09667624148894
"06019005507",13.009623909933785,616.0991746607069
"06029005402",19.444466899550413,1007.6821884305416
"06047001004",32.595774437398624,1498.4627599876007
"06047001005",16.04198598981592,735.0987638632839
"06047001101",14.669972518251596,678.1248332792701
"06071008402",5.237353963653188,267.4379269286123
"06071008404",13.13563949212002,671.1540675403514
"06071008800",7.89026137724096,423.9858705640604
"06047001200",12.292888542383334,560.2145480340404
"06047001301",30.597138576271846,1399.1184997022463
"06047001302",30.795426343393842,1394.283928030981
"06033000502",0,0
"06047001700",4.8037140520862565,226.68766163361948
"06047001801",0.9131442099978352,40.8834507101721
"06047002201",30.22176516862921,1686.4912304207246
"06073019809",12.89917409301029,734.5041676426785
"06073020029",23.46191684312679,1320.5449918199545
"06073020309",32.71439630925791,1833.5362767936779
"06073021205",12.235174041635817,686.8045982026993
"06071003506",28.94909758546954,1420.5770927782248
"06071000404",16.710326028790572,846.8200022014977
"06037300100",1.4360018589322419,94.46081139348277
"06073000400",35.4442371779982,1990.0133970929514
"06073000500",42.562307907384074,2390.068406804093
"06073000600",38.615733454357716,2169.644832484518
"06037300501",4.7934804095704795,287.9960982193408
"06111002700",21.21546120654022,1126.9671968997116
"06111002800",28.047107892166714,1483.5726018440432
"06111003608",9.88884747845812,523.7566944774279
"06111003700",10.8247551506468,562.2994801122938
"06083003102",0,0
"06083001704",10.720443811380164,573.2063872854037
"06083980100",0,0
"06083990000",0,0
"06073003103",2.2031727695238272,103.01588134420437
"06073003105",4.5056468619257135,234.08702556460716
"06053010202",0,0
"06053013000",27.692151317985537,1670.6157255695484
"06037310701",20.750748100601417,1198.1422772660314
"06053010603",2.9318491301098923,181.77464606681332
"06053013300",15.425701764313608,956.3935093874437
"06053013500",21.461922174352615,1330.6391748098617
"06053013700",20.99707727502303,1301.8187910514278
"06053013800",18.17760884913031,1127.0117486460786
"06053000101",0.8066086279309097,50.00973493171641
"06053000103",29.408034646601166,1798.8029510643407
"06083000302",4.440579010205226,237.95536086802778
"06053010604",3.2113639022639253,196.84046720587315
"06053010605",3.2113639022639253,196.84046720587315
"06053010900",0,0
"06053013900",11.590535979636687,718.6132307374747
"06053014000",20.99707727502303,1301.8187910514278
"06039000104",0,0
"06039000509",0,0
"06111004000",7.880614333198853,407.0313343567912
"06111004101",8.476984545150994,438.65371860501193
"06053011302",18.45103883884017,1143.9644080080902
"06053012000",1.2440489315674885,77.13103375718431
"06053012100",2.6813123819579454,166.24136768139263
"06111004200",8.523057931799343,441.08787086415174
"06111004503",5.025231327766077,265.8823861209898
"06111004504",7.1805942296517475,369.90065193496446
"06085504505",23.58926195707791,1448.4041791385357
"06029000400",9.508176797582994,492.43186249189927
"06029000504",13.279065749480457,687.62694885297
"06029000506",57.17479938513166,2697.5091362430267
"06029000507",24.154424163944647,1250.8525625925474
"06085503903",7.143151456729407,420.50837743657166
"06013386000",6.877685030116865,404.86778218684924
"06013354001",0,0
"06013318000",1.7711316427520467,102.97138212887062
"06013314200",0.870552611657835,50.79130762173831
"06013357000",0,0
"06071008403",6.50363574157359,329.55487608006223
"06013337100",5.869110695978044,347.5336168345026
"06013363000",17.73638178960253,1056.1748699449543
"06013321101",7.799217255947141,512.8645797533671
"06013320001",3.012645112075583,175.08946776446447
"06013307205",19.981109649462603,1163.4356829082894
"06013355302",1.9582535938404024,106.94989306030048
"06053012200",2.955147441973463,183.2191414023547
"06013307101",3.4560131464479222,200.9067650178998
"06111003615",2.7283393424536997,144.74300798185618
"06111005803",5.875331856635149,322.64675529301286
"06111008307",14.441103006920237,746.3743277415826
"06111007515",9.984623475506714,525.4413385716115
"06111001511",19.21854961994371,1021.4165476325271
"06111008308",5.865742572369644,309.08165064959206
"06111003617",5.761250852349403,316.6448130920563
"06111003101",25.2418833935455,1259.4955325825742
"06111008502",0,0
"06111003902",8.395838233730183,435.0031196461164
"06111001509",23.762724241367398,1262.5121396715945
"06111009600",0,0
"06073002902",12.81103140120637,723.4994388550986
"06073002903",10.394800152642858,581.1818237292052
"06013341000",18.383532591744977,1046.281797423975
"06013385100",5.020748059699631,296.91982058630714
"06013392000",1.3051063610529898,75.86340531005152
"06013351200",1.9826272605237807,115.2911053229403
"06071000115",3.99387480856506,206.19364884990222
"06071002031",18.295733185181042,932.6193540258179
"06029000800",9.589500405159233,484.21665417006034
"06029000903",12.31191016193598,625.1749504813381
"06029000904",15.725448533064029,803.2725220085508
"06071008100",43.93811465028086,2231.8836257162106
"06053014102",15.264145281570993,946.3770074574015
